id,at,actor,action,entity,entity_id,before,after
1936,2026-09-09 04:19:24.371024+00,michelle,sites.upsert,sites,SAV_102,"{""active"": true, ""address"": ""11 Pioneer Turn L401"", ""site_id"": ""SAV_102"", ""client_id"": ""SAV"", ""site_name"": ""Savills Property Management Pte Ltd (Green Hub)"", ""created_at"": ""2026-08-30T02:37:43.889792+00:00"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}","{""active"": true, ""address"": ""11 Pioneer Turn L401"", ""site_id"": ""SAV_102"", ""client_id"": ""SAV"", ""site_name"": ""Savills Property Management Pte Ltd (Green Hub)"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}"
1937,2026-09-09 04:19:24.452587+00,michelle,rate_card.replace,rate_card,SAV_102,"[{""price"": 13, ""job_type"": ""Exchange""}, {""price"": 13, ""job_type"": ""Collect""}, {""price"": 21, ""job_type"": ""Load""}, {""price"": 8, ""job_type"": ""Delivery""}, {""price"": 19.5, ""job_type"": ""Compactor""}]","[{""price"": 13, ""job_type"": ""Exchange""}, {""price"": 13, ""job_type"": ""Collect""}, {""price"": 8, ""job_type"": ""Delivery""}, {""price"": 21, ""job_type"": ""Load""}, {""price"": 19.5, ""job_type"": ""Compactor""}]"
1938,2026-09-09 04:19:24.45946+00,michelle,sites.upsert,sites,SAV_103,"{""active"": true, ""address"": ""11 Pioneer Turn L407"", ""site_id"": ""SAV_103"", ""client_id"": ""SAV"", ""site_name"": ""Savills Property Management Pte Ltd (Green Hub)"", ""created_at"": ""2026-08-30T02:37:43.889792+00:00"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}","{""active"": true, ""address"": ""11 Pioneer Turn L407"", ""site_id"": ""SAV_103"", ""client_id"": ""SAV"", ""site_name"": ""Savills Property Management Pte Ltd (Green Hub)"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}"
1939,2026-09-09 04:19:24.573253+00,michelle,rate_card.replace,rate_card,SAV_103,"[{""price"": 13, ""job_type"": ""Exchange""}, {""price"": 13, ""job_type"": ""Collect""}, {""price"": 21, ""job_type"": ""Load""}, {""price"": 8, ""job_type"": ""Delivery""}, {""price"": 19.5, ""job_type"": ""Compactor""}]","[{""price"": 13, ""job_type"": ""Exchange""}, {""price"": 13, ""job_type"": ""Collect""}, {""price"": 8, ""job_type"": ""Delivery""}, {""price"": 21, ""job_type"": ""Load""}, {""price"": 19.5, ""job_type"": ""Compactor""}]"
1940,2026-09-09 04:19:24.580006+00,michelle,sites.upsert,sites,SAV_104,"{""active"": true, ""address"": ""11 Pioneer Turn L601"", ""site_id"": ""SAV_104"", ""client_id"": ""SAV"", ""site_name"": ""Savills Property Management Pte Ltd (Green Hub)"", ""created_at"": ""2026-08-30T02:37:43.889792+00:00"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}","{""active"": true, ""address"": ""11 Pioneer Turn L601"", ""site_id"": ""SAV_104"", ""client_id"": ""SAV"", ""site_name"": ""Savills Property Management Pte Ltd (Green Hub)"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}"
1941,2026-09-09 04:19:24.678525+00,michelle,rate_card.replace,rate_card,SAV_104,"[{""price"": 13, ""job_type"": ""Exchange""}, {""price"": 13, ""job_type"": ""Collect""}, {""price"": 21, ""job_type"": ""Load""}, {""price"": 8, ""job_type"": ""Delivery""}, {""price"": 19.5, ""job_type"": ""Compactor""}]","[{""price"": 13, ""job_type"": ""Exchange""}, {""price"": 13, ""job_type"": ""Collect""}, {""price"": 8, ""job_type"": ""Delivery""}, {""price"": 21, ""job_type"": ""Load""}, {""price"": 19.5, ""job_type"": ""Compactor""}]"
1942,2026-09-09 04:19:24.692514+00,michelle,sites.upsert,sites,SAV_105,"{""active"": true, ""address"": ""11 Pioneer Turn L8"", ""site_id"": ""SAV_105"", ""client_id"": ""SAV"", ""site_name"": ""Savills Property Management Pte Ltd (Green Hub)"", ""created_at"": ""2026-08-30T02:37:43.889792+00:00"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}","{""active"": true, ""address"": ""11 Pioneer Turn L8"", ""site_id"": ""SAV_105"", ""client_id"": ""SAV"", ""site_name"": ""Savills Property Management Pte Ltd (Green Hub)"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}"
1958,2026-09-09 04:21:30.326563+00,zion,photo.attach,collections,24955,"{""photo_do_ref"": ""office/24955-1788927657916.jpeg""}","{""replaced"": true, ""app_patched"": true, ""photo_do_ref"": ""office/24955-1788927688734.jpeg""}"
1943,2026-09-09 04:19:24.781944+00,michelle,rate_card.replace,rate_card,SAV_105,"[{""price"": 13, ""job_type"": ""Exchange""}, {""price"": 13, ""job_type"": ""Collect""}, {""price"": 21, ""job_type"": ""Load""}, {""price"": 8, ""job_type"": ""Delivery""}, {""price"": 19.5, ""job_type"": ""Compactor""}]","[{""price"": 13, ""job_type"": ""Exchange""}, {""price"": 13, ""job_type"": ""Collect""}, {""price"": 8, ""job_type"": ""Delivery""}, {""price"": 21, ""job_type"": ""Load""}, {""price"": 19.5, ""job_type"": ""Compactor""}]"
1949,2026-09-09 04:20:31.094195+00,michelle,sites.upsert,sites,SAV_102,"{""active"": true, ""address"": ""11 Pioneer Turn L401"", ""site_id"": ""SAV_102"", ""client_id"": ""SAV"", ""site_name"": ""Savills Property Management Pte Ltd (Green Hub)"", ""created_at"": ""2026-08-30T02:37:43.889792+00:00"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}","{""active"": true, ""address"": ""11 Pioneer Turn L401"", ""site_id"": ""SAV_102"", ""client_id"": ""SAV"", ""site_name"": ""Savills Property Management Pte Ltd (Green Hub)"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}"
1955,2026-09-09 04:20:31.409392+00,michelle,rate_card.replace,rate_card,SAV_104,"[{""price"": 13, ""job_type"": ""Exchange""}, {""price"": 13, ""job_type"": ""Collect""}, {""price"": 8, ""job_type"": ""Delivery""}, {""price"": 21, ""job_type"": ""Load""}, {""price"": 19.5, ""job_type"": ""Compactor""}]","[{""price"": 13, ""job_type"": ""Exchange""}, {""price"": 13, ""job_type"": ""Collect""}, {""price"": 8, ""job_type"": ""Delivery""}, {""price"": 21, ""job_type"": ""Load""}, {""price"": 19.5, ""job_type"": ""Compactor""}]"
1944,2026-09-09 04:19:56.479003+00,zion,collection.set_dono,collections,249550,"{""do_no"": ""24955""}","{""do_no"": ""249550"", ""reason"": ""wrong"", ""cascade"": {""adjustments"": ""ok"", ""onward_disposal"": ""ok"", ""collection_reviews"": ""ok""}, ""has_scan"": true, ""app_patched"": true}"
1945,2026-09-09 04:20:20.291691+00,zion,collection.set_dono,collections,24955,"{""do_no"": ""APP-T545""}","{""do_no"": ""24955"", ""reason"": ""Didnt put the DO number"", ""cascade"": {""adjustments"": ""ok"", ""onward_disposal"": ""ok"", ""collection_reviews"": ""ok""}, ""has_scan"": false, ""app_patched"": true}"
1951,2026-09-09 04:20:31.19065+00,michelle,rate_card.replace,rate_card,SAV_102,"[{""price"": 13, ""job_type"": ""Exchange""}, {""price"": 13, ""job_type"": ""Collect""}, {""price"": 8, ""job_type"": ""Delivery""}, {""price"": 21, ""job_type"": ""Load""}, {""price"": 19.5, ""job_type"": ""Compactor""}]","[{""price"": 13, ""job_type"": ""Exchange""}, {""price"": 13, ""job_type"": ""Collect""}, {""price"": 8, ""job_type"": ""Delivery""}, {""price"": 21, ""job_type"": ""Load""}, {""price"": 19.5, ""job_type"": ""Compactor""}]"
1960,2026-09-09 04:21:49.338203+00,zion,collection.review,collection_reviews,24955,,"{""do_no"": ""24955"", ""reviewed"": true, ""reviewed_at"": ""2026-09-09T04:21:49.297+00:00"", ""reviewed_by"": ""zion""}"
1946,2026-09-09 04:20:31.000028+00,michelle,customers.upsert,customers,SAV,"{""name"": ""Savills Property Management Pte Ltd (Green Hub)"", ""active"": true, ""client_id"": ""SAV"", ""sales_rep"": null, ""created_at"": ""2026-07-24T15:15:51.944859+00:00"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null, ""payment_terms"": null, ""xero_contact_id"": null}","{""name"": ""Savills Property Management Pte Ltd (Green Hub)"", ""client_id"": ""SAV""}"
1953,2026-09-09 04:20:31.295675+00,michelle,rate_card.replace,rate_card,SAV_103,"[{""price"": 13, ""job_type"": ""Exchange""}, {""price"": 13, ""job_type"": ""Collect""}, {""price"": 8, ""job_type"": ""Delivery""}, {""price"": 21, ""job_type"": ""Load""}, {""price"": 19.5, ""job_type"": ""Compactor""}]","[{""price"": 13, ""job_type"": ""Exchange""}, {""price"": 13, ""job_type"": ""Collect""}, {""price"": 8, ""job_type"": ""Delivery""}, {""price"": 21, ""job_type"": ""Load""}, {""price"": 19.5, ""job_type"": ""Compactor""}]"
1947,2026-09-09 04:20:31.007461+00,michelle,sites.upsert,sites,SAV_101,"{""active"": true, ""address"": ""11 Pioneer Turn L2"", ""site_id"": ""SAV_101"", ""client_id"": ""SAV"", ""site_name"": ""Savills Property Management Pte Ltd (Green Hub)"", ""created_at"": ""2026-08-30T02:37:43.889792+00:00"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}","{""active"": true, ""address"": ""11 Pioneer Turn L2"", ""site_id"": ""SAV_101"", ""client_id"": ""SAV"", ""site_name"": ""Savills Property Management Pte Ltd (Green Hub)"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}"
