id,domain,key,route,value,unit,basis,source_ref,valid_from,uncertainty_pct
40,equipment,production_of_10kw_thermal_capacity_air_water_monoblock_heat,,2110.000000,kgCO2e/unit,"Production of 10kW Thermal Capacity Air-Water (Monoblock) Heat Pumps with Single Fan | Input is dependent on Capacity. For more info, refer to SGBC's Singapore Mechanical & Electrical Carbon Calculator (MECC). | Boundary incl:  | excl: ","SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
41,equipment,production_of_cooling_towers,,30100.000000,kgCO2e/unit,Production of Cooling Towers |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
42,material,production_of_precast_eco_concrete_30_fly_ash_replacement_gr,,0.126850,kgCO2e/kg,Production of Precast Eco Concrete (30% Fly Ash Replacement) Grade 30 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
43,material,production_of_glue_laminated_timber,,-1.068440,kgCO2e/kg,Production of Glue Laminated Timber |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
44,material,production_of_double_glazed_glass,,2.469388,kgCO2e/kg,Production of Double Glazed Glass |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
45,material,production_of_precast_eco_concrete_30_fly_ash_replacement_gr,,0.160350,kgCO2e/kg,Production of Precast Eco Concrete (30% Fly Ash Replacement) Grade 40 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
46,material,production_of_precast_concrete_natural_grade_40,,0.163794,kgCO2e/kg,Production of Precast Concrete (Natural) Grade 40 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
47,material,production_of_recycled_concrete_aggregates_rca,,0.006670,kgCO2e/kg,Production of Recycled Concrete Aggregates (RCA) |  | Boundary incl:  | excl: ,SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | EN15804 | AR5,2022-05-01,
48,material,production_of_precast_concrete_natural_grade_30,,0.137185,kgCO2e/kg,Production of Precast Concrete (Natural) Grade 30 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
49,material,production_of_recycled_steel,,1.060000,kgCO2e/kg,Production of Recycled Steel | Average Carbon Footprint of a steel sheet | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
50,material,production_of_ceramic_tiles,,0.780000,kgCO2e/kg,Production of Ceramic Tiles |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
51,material,production_of_eco_concrete_15_fly_ash_replacement_grade_40,,0.157500,kgCO2e/kg,Production of Eco Concrete (15% Fly Ash Replacement) Grade 40 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
52,material,production_of_copper_pipe,,4.810000,kgCO2e/kg,Production of Copper Pipe |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2024-06-06,
53,material,production_of_carpet_tiles,,9.800000,kgCO2e/kg,Production of Carpet Tiles |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
54,material,production_of_precast_eco_concrete_50_ggbs_replacement_grade,,0.120000,kgCO2e/kg,Production of Precast Eco Concrete (50% GGBS Replacement) Grade 40 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
55,material,production_of_precast_eco_concrete_30_fly_ash_replacement_gr,,0.163850,kgCO2e/kg,Production of Precast Eco Concrete (30% Fly Ash Replacement) Grade 50 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
56,material,production_of_eco_concrete_50_ggbs_replacement_grade_30,,0.084549,kgCO2e/kg,Production of Eco Concrete (50% GGBS Replacement) Grade 30 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
57,material,production_of_precast_eco_concrete_15_fly_ash_replacement_gr,,0.164850,kgCO2e/kg,Production of Precast Eco Concrete (15% Fly Ash Replacement) Grade 50 |  | Boundary incl:  | excl: ,"SEFR (netzerohub.sg) | Singapore Green Building Council (SGBC) | ISO 14040, 14044 | ",2022-05-01,
