do_no,source,job_no,do_date,do_type,trip_type,site_id,vessel_name,berth,vehicle_id,driver_id,job_type,waste_type,bin_in,bin_out,vol_cat_a,vol_cat_b,vol_cat_c,vol_cat_d,vol_cat_e,vol_cat_f,vol_total_m3,gross_kg,tare_kg,net_kg,weigh_ticket_no,weigh_location,weight_source,gps_lat,gps_lng,gps_accuracy_m,gps_captured_at,photo_do_ref,photo_sig_ref,photo_weigh_ref,receipt_ref,disposal_facility,xero_invoice_id,backfill_notes,synced_at,sludge_requested_t,sludge_actual_t,dispose_to,vol_cat_i,vol_other_m3,other_desc,vol_oily_rags_m3,vol_expired_med_m3,bin_qty,voyage_no,claim_state,bin_in_raw,bin_out_raw
26218,live,,2026-07-17,land,Exchange,ENG_001,,,,,Exchange,General Waste,,,,,,,,,,,,,,,volume_est,,,,,https://drive.google.com/uc?export=view&id=1-CyxHvyBN_IBRTt5dvT_6HqpxvGX75qx,https://drive.google.com/uc?export=view&id=1CyfT6Af8Q0HOzu_fAEJQEzXufiF9Rki6,,,,,app_trip_id=20 | vehicle_raw=X1234Y | job_no=28,2026-08-14 08:38:12.824+00,,,,,,,,,,,UNASSIGNED,,
WB-LR21276,backfill,,2026-03-09,,,APE_001,,,,,,General Waste,,,,,,,,,,18660.0,14190.0,4470.0,LR21276,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:38.502605+00,,,,,,,,,,,UNASSIGNED,,
WB-LR21280,backfill,,2026-03-09,,,APE_001,,,,,,General Waste,,,,,,,,,,18420.0,14120.0,4300.0,LR21280,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:38.561198+00,,,,,,,,,,,UNASSIGNED,,
WB-LR21966,backfill,,2026-04-15,,,APE_001,,,,,,General Waste,,,,,,,,,,16210.0,14150.0,2060.0,LR21966,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:38.617793+00,,,,,,,,,,,UNASSIGNED,,
24681,live,,2026-08-14,land,Collect,EVE_001,,,XE7126P,YAO_JUN,Collect,Metal Waste,,5106,,,,,,,,15650.0,14100.0,1550.0,LR205,,weighbridge,,,,,mssx63jm-DO-361-1.jpg,,,,,,"app_trip_id=235 | bin_photos=mssx62zc-BINOUT-361-1.jpg
mssx63de-BINOUT-361-2.jpg | job_no=361",2026-08-15 10:16:32.037+00,,,,,,,,,1,,UNASSIGNED,,
WB-LR21136,backfill,,2026-03-02,,,ARC_001,,,,,,General Waste,,,,,,,,,,18300.0,14280.0,4020.0,LR21136,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:38.675293+00,,,,,,,,,,,UNASSIGNED,,
WB-LR22406,backfill,,2026-05-12,,,ARC_001,,,,,,General Waste,,,,,,,,,,19270.0,14860.0,4410.0,LR22406,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:38.726692+00,,,,,,,,,,,UNASSIGNED,,
WB-LR22728,backfill,,2026-06-02,,,ARC_001,,,,,,General Waste,,,,,,,,,,19220.0,14240.0,4980.0,LR22728,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:38.781851+00,,,,,,,,,,,UNASSIGNED,,
26801,backfill,,2026-05-12,land,Exchange,PAX_001,,,XE6221D,,,General Waste,,,,,,,,,,14150.0,16920.0,2470.0,986,,weighbridge,,,,,,,,,,,remarks=Backfill DO + weighbridge (May 2026); 1x5FT; weighed by MUSTAFA,2026-07-24 15:15:51.944859+00,,,,,,,,,,,UNASSIGNED,,
26828,backfill,,2026-05-16,land,Exchange,PAX_001,,,XE6221D,,,General Waste,5047,,,,,,,,,14730.0,15920.0,1110.0,1036,,weighbridge,,,,,,,,,,,remarks=Backfill DO + weighbridge (May 2026); 1x5FT; weighed by AMIR-K12898,2026-07-24 15:15:51.944859+00,,,,,,,,,,,UNASSIGNED,,
APP-T519,live,,2026-09-02,land,Exchange,ART_001,,,XE8496P,LIU,Exchange,General Waste,5176,,,,,,,,,17610.0,14280.0,3330.0,LR462,,weighbridge,,,,,,,,,,,"app_trip_id=519 | bin_photos=mtjn7p1i-BININ-662-1.jpg
mtjn7pc5-BINOUT-662-1.jpg | bin_out_raw=L22 | job_no=662",2026-09-02 09:27:03.933+00,,,,,,,,,1,,UNASSIGNED,,L22
22626,backfill,,2026-03-01,,,PAX_001,,,,LIU,Exchange,General Waste,,,,,,,,,,,,,,,,,,,,,,,,,,OTC schedule Mar 2026; tonnage as recorded by office; weighbridge chit not attached,2026-09-02 04:01:35.67238+00,,,Lirich Resources Pte Ltd,,,,,,,,UNASSIGNED,,
26790,backfill,,2026-05-11,land,Exchange,PAX_001,,,XE6221D,,,General Waste,,5160,,,,,,,,20880.0,14170.0,6710.0,975,,weighbridge,,,,,,,,,,,remarks=Backfill DO + weighbridge (May 2026); 1x5FT; weighed by AMIR-K12898,2026-07-24 15:15:51.944859+00,,,,,,,,,,,UNASSIGNED,,
26795,backfill,,2026-05-11,land,Exchange,PAX_001,,,XE6221D,,,General Waste,,,,,,,,,,19450.0,14230.0,5220.0,983,,weighbridge,,,,,,,,,,,remarks=Backfill DO + weighbridge (May 2026); 1x5FT; weighed by AMIR-K12898,2026-07-24 15:15:51.944859+00,,,,,,,,,,,UNASSIGNED,,
26806,backfill,,2026-05-12,land,Exchange,PAX_001,,,XE6221D,,,General Waste,5135,,,,,,,,,16420.0,14080.0,2340.0,994,,weighbridge,,,,,,,,,,,remarks=Backfill DO + weighbridge (May 2026); 1x5FT; weighed by MUSTAFA,2026-07-24 15:15:51.944859+00,,,,,,,,,,,UNASSIGNED,,
WB-LR22987,backfill,,2026-06-17,,,ARC_001,,,,,,General Waste,,,,,,,,,,18740.0,14540.0,4200.0,LR22987,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:38.82917+00,,,,,,,,,,,UNASSIGNED,,
WB-LR23087,backfill,,2026-06-19,,,ARC_001,,,,,,General Waste,,,,,,,,,,21360.0,14260.0,7100.0,LR23087,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:38.881084+00,,,,,,,,,,,UNASSIGNED,,
24916,live,,2026-08-27,land,Exchange,ACEM_001,,,XE7126P,YAO_JUN,Exchange,General Waste,5038,5108,,,,,,,,16350.0,14100.0,2250.0,LR368,,weighbridge,,,,,mtbcm2yx-DO-562-1.jpg,,,,,,"app_trip_id=422 | bin_photos=mtbcm2gr-BININ-562-1.jpg
mtbcm2rc-BINOUT-562-1.jpg | job_no=562",2026-08-27 09:57:01.427+00,,,Lirich yard,,,,,,1,,UNASSIGNED,,
WB-LR23303,backfill,,2026-07-02,,,ARC_001,,,,,,General Waste,,,,,,,,,,22370.0,14250.0,8120.0,LR23303,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:38.9334+00,,,,,,,,,,,UNASSIGNED,,
WB-LR23530,backfill,,2026-07-13,,,ARC_001,,,,,,General Waste,,,,,,,,,,22550.0,14250.0,8300.0,LR23530,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:39.013294+00,,,,,,,,,,,UNASSIGNED,,
23486,backfill,,2026-05-25,land,Exchange,PAX_001,,,XE5457Y,,,General Waste,,5162,,,,,,,,14470.0,19070.0,3600.0,1138,,weighbridge,,,,,,,,,,,remarks=Backfill DO + weighbridge (May 2026); 1x5FT; weighed by AMIR-K12898,2026-07-24 15:15:51.944859+00,,,,,,,,,,,UNASSIGNED,,
23488,backfill,,2026-05-26,land,Exchange,PAX_001,,,XE5457Y,,,General Waste,5038,,,,,,,,,14790.0,17970.0,3190.0,1144,,weighbridge,,,,,,,,,,,remarks=Backfill DO + weighbridge (May 2026); 1x5FT; weighed by AMIR-K12898,2026-07-24 15:15:51.944859+00,,,,,,,,,,,UNASSIGNED,,
25337,live,,2026-08-28,land,Exchange,GSE_004,,,XE6221D,SATHISH,Exchange,General Waste,5106,5220,,,,,,,,16760.0,14340.0,2420.0,LR384,,weighbridge,,,,,mtcpwxn2-DO-575-1.jpg,,,,,,app_trip_id=442 | dispose_to=Lirich Resources Pte Ltd | job_no=575,2026-08-28 08:57:51.96+00,,,Lirich Resources Pte Ltd,,,,,,1,,UNASSIGNED,,
WB-LR23832,backfill,,2026-07-29,,,ARC_001,,,,,,General Waste,,,,,,,,,,20350.0,14210.0,6140.0,LR23832,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:39.07161+00,,,,,,,,,,,UNASSIGNED,,
WB-LR24167,backfill,,2026-08-20,,,ARC_001,,,,,,General Waste,,,,,,,,,,22970.0,14100.0,8870.0,LR24167,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:39.131602+00,,,,,,,,,,,UNASSIGNED,,
WB-LR20584,backfill,,2026-02-04,,,ART_001,,,,,,General Waste,,,,,,,,,,18450.0,14240.0,4210.0,LR20584,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:39.190713+00,,,,,,,,,,,UNASSIGNED,,
LR26/05/0169,backfill,,2026-05-19,,,STE_001,,,,,,Misc (Electrode Stud Ends + NDT Chemical Cans),,,,,,,,,,,,,,,invoice,,,,,,,,,,,2 lots @ $44.50; ref 3020394448; inv $97.01,2026-07-31 03:02:32.106388+00,,,,,,,,,,,UNASSIGNED,,
WB-LR20585,backfill,,2026-02-04,,,ART_001,,,,,,General Waste,,,,,,,,,,16410.0,14250.0,2160.0,LR20585,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:39.252593+00,,,,,,,,,,,UNASSIGNED,,
WB-LR20586,backfill,,2026-02-04,,,ART_001,,,,,,General Waste,,,,,,,,,,17450.0,14210.0,3240.0,LR20586,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:39.30988+00,,,,,,,,,,,UNASSIGNED,,
WB-LR20588,backfill,,2026-02-04,,,ART_001,,,,,,General Waste,,,,,,,,,,17560.0,14210.0,3350.0,LR20588,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:39.366967+00,,,,,,,,,,,UNASSIGNED,,
WB-LR20589,backfill,,2026-02-04,,,ART_001,,,,,,General Waste,,,,,,,,,,16580.0,14240.0,2340.0,LR20589,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:39.424208+00,,,,,,,,,,,UNASSIGNED,,
WB-LR20851,backfill,,2026-02-25,,,ART_001,,,,,,General Waste,,,,,,,,,,18380.0,14230.0,4150.0,LR20851,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:39.48283+00,,,,,,,,,,,UNASSIGNED,,
WB-LR20959,backfill,,2026-02-26,,,ART_001,,,,,,General Waste,,,,,,,,,,17340.0,14260.0,3080.0,LR20959,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:39.537095+00,,,,,,,,,,,UNASSIGNED,,
24184,backfill,,2026-06-06,,,STE_004,,,,,,General Waste,,,,,,,,,,,,6100.0,,,invoice,,,,,,,,,,,DO#24184; IWMF Pkg 1; PO 3020397117; part of inv LR26/06/0010,2026-07-31 03:02:32.106388+00,,,,,,,,,,,UNASSIGNED,,
WB-LR20960,backfill,,2026-02-26,,,ART_001,,,,,,General Waste,,,,,,,,,,17740.0,14220.0,3520.0,LR20960,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:39.591346+00,,,,,,,,,,,UNASSIGNED,,
24919,live,,2026-08-28,land,Load,SAL_002,,,XE7126P,YAO_JUN,Load,General Waste,5213,5213,,,,,,,,15580.0,14100.0,1480.0,LR376,,weighbridge,,,,,mtcpj1g6-DO-570-1.jpg,,,,,,"app_trip_id=434 | bin_photos=mtcpj0x7-BININ-570-1.jpg
mtcpj1b2-BINOUT-570-1.jpg | job_no=570",2026-08-28 08:46:26.262+00,,,Lirich yard,,,,,,1,,UNASSIGNED,,
WB-LR20961,backfill,,2026-02-26,,,ART_001,,,,,,General Waste,,,,,,,,,,16510.0,13920.0,2590.0,LR20961,,weighbridge,,,,,,,,,,,"",2026-09-04 17:29:39.647469+00,,,,,,,,,,,UNASSIGNED,,
